key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order,chart_id,chart,contract,catalogue_order,applicable,applicability_reason,tested_settings,catalogue_id,recommendation_order,display_selected,rank,optimal
WDBC__02,Density,density_8,18.0,9.970322594784555,96.8365553602812,True,qualifies,569,0.7649055411288065,2.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,3.0,False,3.0,False
WDBC__02,Observations,raw,569.0,0.0,0.0,True,qualifies,569,0.0,11.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,4.0,False,4.0,False
WDBC__02,Five-number,five_number,10.0,16.63469194312799,0.0,False,does_not_qualify,569,1.2761841877538829,13.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,5.0,False,5.0,False
WDBC__02,Five-number,five_number,10.0,16.63469194312799,0.0,False,does_not_qualify,569,1.2761841877538829,13.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,6.0,False,5.0,False
WDBC__02,Means,means,2.0,18.614673353737473,0.0,False,does_not_qualify,569,1.428084864779063,14.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,7.0,False,7.0,False
WDBC__02,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__02,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__03,Binned,bins_4,10.0,189.21401705766482,98.24253075571178,True,qualifies,569,0.6958510991745519,1.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,1.0,True,1.0,True
WDBC__03,Binned,bins_4,10.0,189.21401705766482,98.24253075571178,True,qualifies,569,0.6958510991745519,1.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,2.0,False,1.0,True
WDBC__03,Density,density_8,18.0,261.51118161376905,96.8365553602812,True,qualifies,569,0.9617302460045498,3.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,3.0,False,3.0,False
WDBC__03,Observations,raw,569.0,0.0,0.0,True,qualifies,569,0.0,12.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,4.0,False,4.0,False
WDBC__03,Five-number,five_number,10.0,473.0379146919431,0.0,False,does_not_qualify,569,1.7396383101433261,13.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,5.0,False,5.0,False
WDBC__03,Five-number,five_number,10.0,473.0379146919431,0.0,False,does_not_qualify,569,1.7396383101433261,13.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,6.0,False,5.0,False
WDBC__03,Means,means,2.0,478.1937809840915,0.0,False,does_not_qualify,569,1.758599459440712,14.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,7.0,False,7.0,False
WDBC__03,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__03,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__04,Means,means,2.0,0.00312842644560285,99.64850615114236,True,qualifies,569,0.41378256440745775,1.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,1.0,True,1.0,True
WDBC__04,Means,means,2.0,0.00312842644560285,99.64850615114236,True,qualifies,569,0.41378256440745775,1.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,2.0,False,1.0,True
WDBC__04,Binned,bins_8,18.0,0.0024584483848314465,96.8365553602812,True,qualifies,569,0.3251676505192377,2.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,3.0,False,3.0,False
WDBC__04,Binned,bins_8,18.0,0.0024584483848314465,96.8365553602812,True,qualifies,569,0.3251676505192377,2.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,4.0,False,3.0,False
WDBC__04,Density,density_8,18.0,0.007304725165749287,96.8365553602812,True,qualifies,569,0.9661623707419406,3.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,5.0,False,5.0,False
WDBC__04,Five-number,five_number,10.0,0.02149999999999999,0.0,False,does_not_qualify,569,2.8437060258407354,14.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,6.0,False,6.0,False
WDBC__04,Five-number,five_number,10.0,0.02149999999999999,0.0,False,does_not_qualify,569,2.8437060258407354,14.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,7.0,False,6.0,False
WDBC__04,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__04,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__05,Five-number,five_number,10.0,0.011507582938388633,98.24253075571178,True,qualifies,569,0.30231043812042374,1.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,1.0,True,1.0,True
WDBC__05,Five-number,five_number,10.0,0.011507582938388633,98.24253075571178,True,qualifies,569,0.30231043812042374,1.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,2.0,False,1.0,True
WDBC__05,Binned,bins_4,10.0,0.01570861470552945,98.24253075571178,True,qualifies,569,0.4126738185871818,2.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,3.0,False,3.0,False
WDBC__05,Binned,bins_4,10.0,0.01570861470552945,98.24253075571178,True,qualifies,569,0.4126738185871818,2.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,4.0,False,3.0,False
WDBC__05,Density,density_8,18.0,0.01322401014229374,96.8365553602812,True,qualifies,569,0.3474019106557523,4.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,5.0,False,5.0,False
WDBC__05,Observations,raw,569.0,0.0,0.0,True,qualifies,569,0.0,13.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,6.0,False,6.0,False
WDBC__05,Means,means,2.0,0.0412884118635795,0.0,False,does_not_qualify,569,1.0846689479974339,14.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,7.0,False,7.0,False
WDBC__05,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__05,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__06,Binned,bins_4,10.0,0.04263676069866539,98.24253075571178,True,qualifies,569,0.683274156112266,1.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,1.0,True,1.0,True
WDBC__06,Binned,bins_4,10.0,0.04263676069866539,98.24253075571178,True,qualifies,569,0.683274156112266,1.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,2.0,False,1.0,True
WDBC__06,Density,density_8,18.0,0.03492855897568485,96.8365553602812,True,qualifies,569,0.5597465958307575,3.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,3.0,False,3.0,False
WDBC__06,Observations,raw,569.0,0.0,0.0,True,qualifies,569,0.0,12.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,4.0,False,4.0,False
WDBC__06,Means,means,2.0,0.09338953909836131,0.0,False,does_not_qualify,569,1.496611315482597,13.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,5.0,False,5.0,False
WDBC__06,Five-number,five_number,10.0,0.16561071090047394,0.0,False,does_not_qualify,569,2.6539895826845927,14.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,6.0,False,6.0,False
WDBC__06,Five-number,five_number,10.0,0.16561071090047394,0.0,False,does_not_qualify,569,2.6539895826845927,14.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,7.0,False,6.0,False
WDBC__06,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__06,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__07,Binned,bins_4,10.0,0.013165896226415078,98.24253075571178,True,qualifies,569,0.6252714899748005,1.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,1.0,True,1.0,True
WDBC__07,Binned,bins_4,10.0,0.013165896226415078,98.24253075571178,True,qualifies,569,0.6252714899748005,1.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,2.0,False,1.0,True
WDBC__07,Five-number,five_number,10.0,0.0139736018957346,98.24253075571178,True,qualifies,569,0.663630848018596,2.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,3.0,False,3.0,False
WDBC__07,Five-number,five_number,10.0,0.0139736018957346,98.24253075571178,True,qualifies,569,0.663630848018596,2.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,4.0,False,3.0,False
WDBC__07,Density,density_16,34.0,0.005999854588636472,94.02460456942003,True,qualifies,569,0.2849436114149269,5.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,5.0,False,5.0,False
WDBC__07,Observations,raw,569.0,0.0,0.0,True,qualifies,569,0.0,12.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,6.0,False,6.0,False
WDBC__07,Means,means,2.0,0.03379849620985835,0.0,False,does_not_qualify,569,1.605149829576024,14.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,7.0,False,7.0,False
WDBC__07,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__07,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__08,Means,means,2.0,0.010874784942596943,99.64850615114236,True,qualifies,569,0.6013790018393131,1.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,1.0,True,1.0,True
WDBC__08,Means,means,2.0,0.010874784942596943,99.64850615114236,True,qualifies,569,0.6013790018393131,1.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,2.0,False,1.0,True
WDBC__08,Five-number,five_number,10.0,0.00809662921348317,98.24253075571178,True,qualifies,569,0.44774612283089066,2.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,3.0,False,3.0,False
WDBC__08,Five-number,five_number,10.0,0.00809662921348317,98.24253075571178,True,qualifies,569,0.44774612283089066,2.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,4.0,False,3.0,False
WDBC__08,Binned,bins_8,18.0,0.0048845202083749595,96.8365553602812,True,qualifies,569,0.2701154922034727,3.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,5.0,False,5.0,False
WDBC__08,Binned,bins_8,18.0,0.0048845202083749595,96.8365553602812,True,qualifies,569,0.2701154922034727,3.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,6.0,False,5.0,False
WDBC__08,Density,density_8,18.0,0.01072256742973264,96.8365553602812,True,qualifies,569,0.5929613258639262,4.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,7.0,False,7.0,False
WDBC__08,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__08,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__09,Means,means,2.0,0.0037081152251021293,99.64850615114236,True,qualifies,569,0.7203657681539161,1.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,1.0,True,1.0,True
WDBC__09,Means,means,2.0,0.0037081152251021293,99.64850615114236,True,qualifies,569,0.7203657681539161,1.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,2.0,False,1.0,True
WDBC__09,Five-number,five_number,10.0,0.002003567415730337,98.24253075571178,True,qualifies,569,0.38922775935070597,2.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,3.0,False,3.0,False
WDBC__09,Five-number,five_number,10.0,0.002003567415730337,98.24253075571178,True,qualifies,569,0.38922775935070597,2.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,4.0,False,3.0,False
WDBC__09,Binned,bins_4,10.0,0.003057869747899178,98.24253075571178,True,qualifies,569,0.5940442937016186,3.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,5.0,False,5.0,False
