subject,activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std()
3,4,0.275496175,-0.0155442555,-0.10144639999999999,-0.991618165,-0.95772313,-0.969447045,0.94844343,0.07769182599999999,0.108672935,-0.99501405,-0.9755363050000001,-0.965940065,0.0751717395,0.011950176,0.00333905795,-0.9869403050000001,-0.97191719,-0.98562265,-0.028939025,-0.07701322799999999,0.0862144325,-0.9891153850000001,-0.979020505,-0.964519685,-0.0974224215,-0.0393277555,-0.058686538499999996,-0.984855115,-0.9886544749999999,-0.9869377699999999,-0.969254125,-0.965235615,-0.969254125,-0.965235615,-0.983395015,-0.9840370949999999,-0.97096657,-0.968686205,-0.987969715,-0.98928315
3,5,0.27739954,-0.016447003,-0.10844469,-0.97794234,-0.91645669,-0.95605255,0.93560613,-0.30766191,0.017291521,-0.9922581,-0.97648021,-0.96910445,0.075605546,0.012810849,-0.0035434776,-0.97719149,-0.9630124,-0.98214604,-0.025389727,-0.071417469,0.08525651,-0.91512345,-0.94030764,-0.92513386,-0.096814122,-0.043307676,-0.054081425,-0.96269852,-0.97913222,-0.97382701,-0.95522167,-0.94477577,-0.95522167,-0.94477577,-0.97100461,-0.96930397,-0.89696209,-0.89832535,-0.97238855,-0.97689514
3,6,0.275107535,-0.017882475000000002,-0.10569389,-0.98947416,-0.979811455,-0.983999005,-0.22507097,0.85578899,0.458747265,-0.98975562,-0.9946316049999999,-0.9862944,0.076320169,0.0111131175,-0.00391896605,-0.98635308,-0.978592245,-0.988931415,-0.0262591425,-0.07577374249999999,0.08571639449999999,-0.98446733,-0.988372025,-0.984114055,-0.0989726795,-0.040719602,-0.0558930205,-0.98846,-0.9934022,-0.9901489450000001,-0.98484685,-0.9854735450000001,-0.98484685,-0.9854735450000001,-0.986997785,-0.987350215,-0.978052105,-0.975018085,-0.99273713,-0.992863735
4,1,0.27344678,-0.016364459499999998,-0.10974587,-0.442772485,-0.0635923515,-0.589490635,0.963890165,-0.10232459999999999,0.13247151000000001,-0.9849676549999999,-0.976131225,-0.96490462,0.077364492,0.0059477881,0.0017569558499999998,-0.308853335,-0.225491,-0.74825404,-0.032059979,-0.07502732100000001,0.0882945225,-0.51328167,-0.66403697,-0.668151165,-0.109277235,-0.0493288965,-0.0558087225,-0.494853945,-0.811047895,-0.65582339,-0.31678569,-0.534521645,-0.31678569,-0.534521645,-0.375854535,-0.31462268000000004,-0.5061784899999999,-0.5719251599999999,-0.6836183149999999,-0.732455825
4,2,0.269488595,-0.0227290895,-0.1123374,-0.19632831499999998,-0.06800112450000001,-0.37083799500000003,0.943937315,-0.240124575,0.0859535115,-0.9661448850000001,-0.95445921,-0.9331880850000001,0.07250877350000001,-0.032827999,-0.00893525545,-0.3762349,-0.29209189999999996,-0.72401366,0.07266455250000001,-0.1012187345,0.08933063150000001,-0.45322847,-0.55621049,-0.34680854,-0.103910745,-0.050628456,-0.0357546975,-0.5210212750000001,-0.84125746,-0.555912025,-0.140274595,-0.21510822000000002,-0.140274595,-0.21510822000000002,-0.39277278,-0.43807319,-0.29405667,-0.5028386149999999,-0.6779876300000001,-0.74987433
4,3,0.27377455,-0.007301699,-0.10476352,0.034057343,-0.20861069,-0.46675464,0.94797524,-0.05691296,0.14434646,-0.96104261,-0.93433968,-0.94940219,0.12276109,0.01194873,0.012914611,-0.1399059,-0.15015219,-0.63376131,-0.1493008,-0.0699527,0.05638533,-0.34680863,-0.7030946,-0.51856746,-0.071925132,-0.031628843,-0.036342589,-0.40800348,-0.8189634,-0.34081631,-0.03304231,-0.047703052,-0.03304231,-0.047703052,-0.22144046,-0.20458102,-0.34131018,-0.39831742,-0.59585547,-0.64389303
4,4,0.276959065,-0.0132727485,-0.109917775,-0.988603625,-0.93338275,-0.960513105,0.868232675,0.260521805,0.08253894249999999,-0.99510297,-0.9842305250000001,-0.9731162250000001,0.0759410375,0.0103564005,0.000197450175,-0.98370366,-0.95954377,-0.982637145,-0.027832132000000002,-0.081848284,0.08924989550000001,-0.981254685,-0.96995619,-0.9433034849999999,-0.09693384799999999,-0.040202621,-0.054007746999999995,-0.977359505,-0.988118135,-0.979137245,-0.965851985,-0.963296465,-0.965851985,-0.963296465,-0.975413715,-0.97541798,-0.96174719,-0.94772919,-0.984724165,-0.98256499
4,5,0.27842346500000004,-0.0190406745,-0.11634638,-0.98999503,-0.911252155,-0.9374587750000001,0.95986923,-0.06969626200000001,0.165723665,-0.9941920449999999,-0.969794635,-0.957764785,0.075960153,0.0091753114,-0.00527678795,-0.9837366750000001,-0.95341604,-0.979866445,-0.032392172,-0.0814782345,0.087526227,-0.9312869,-0.96733833,-0.93893821,-0.1000014115,-0.0410190135,-0.054119329,-0.96172998,-0.98526665,-0.97208307,-0.945566385,-0.9498495899999999,-0.945566385,-0.9498495899999999,-0.973403425,-0.97129942,-0.93484312,-0.9308726949999999,-0.97751283,-0.9780243200000001
4,6,0.277321035,-0.016757346,-0.10915955499999999,-0.987544585,-0.986721895,-0.981995535,-0.4344787,0.8853101299999999,0.44478364000000004,-0.99119487,-0.9965291549999999,-0.99217617,0.076043534,0.0113645315,-0.0012866694,-0.992572965,-0.9818152849999999,-0.9900306649999999,-0.027920519999999997,-0.07686085949999999,0.086978531,-0.9876518249999999,-0.968968575,-0.992067355,-0.09861249799999999,-0.0393247225,-0.055658403499999995,-0.99243627,-0.9942369600000001,-0.99508443,-0.987249845,-0.98901671,-0.987249845,-0.98901671,-0.98939354,-0.9920223100000001,-0.974208575,-0.97848143,-0.99480726,-0.99554136
5,1,0.276520065,-0.012560004999999999,-0.10958636999999999,-0.32583643,0.0675479345,-0.454505365,0.9733308549999999,-0.0928639,-0.010062239099999998,-0.98101353,-0.977592845,-0.97260996,0.050351064,-0.049746773499999994,-0.0060500944,-0.31776572000000003,-0.08422383050000001,-0.636542885,-0.0287749745,-0.07200525,0.0866040285,-0.506781995,-0.50504435,-0.318599205,-0.09626734,-0.068243105,-0.032106698,-0.397521505,-0.563595165,-0.169135105,-0.18301587,-0.39230196,-0.18301587,-0.39230196,-0.29168569499999997,-0.2691428,-0.375464235,-0.482197225,-0.44958804500000005,-0.48589072499999997
5,2,0.27876023,-0.02434702,-0.10310971,-0.055078466,0.19071149,-0.3124165,0.93707061,-0.24396691,-0.024708529,-0.96946757,-0.94133913,-0.94762771,0.16238088,0.0026153143,-0.007544806,-0.2190907,-0.120749,-0.64703498,0.060579359,-0.16429315,0.036640195,-0.44769363,-0.43493767,-0.26536024,-0.14422273,-0.04525758,-0.09015179,-0.3070403,-0.63661327,-0.29427493,0.045406374,-0.14918404,0.045406374,-0.14918404,-0.23911558,-0.31243153,-0.24181097,-0.36003357,-0.48105137,-0.57119695
5,3,0.27857697,-0.015919992,-0.1017713,0.29849248,0.072045169,-0.33190674,0.95564136,-0.037288954,0.019318147,-0.95416267,-0.91842894,-0.9392947,0.095723178,-0.0065161294,0.012328094,0.05438708,0.048177704,-0.53817098,-0.077187145,-0.064302604,0.074806515,-0.47324922,-0.4122238,-0.21470361,-0.1040545,-0.10009649,-0.027459813,-0.4155111,-0.52515701,-0.028948281,0.21205119,0.17127249,0.21205119,0.17127249,-0.092214733,-0.055420573,-0.2219481,-0.3959973,-0.39707438,-0.47746051
5,4,0.27764630999999995,-0.016117988,-0.11044457499999999,-0.9860877050000001,-0.96297824,-0.95917301,0.931852065,0.10582166,0.15794898000000002,-0.993503305,-0.987001915,-0.97433733,0.076540504,0.0112596785,-0.0015381073499999998,-0.9845333599999999,-0.969594115,-0.9815516550000001,-0.0270484895,-0.07884221699999999,0.084223607,-0.98220419,-0.975393835,-0.95992242,-0.09713786299999999,-0.039703383499999995,-0.0556172505,-0.9731653250000001,-0.9826199099999999,-0.9757278300000001,-0.9691882949999999,-0.95981434,-0.9691882949999999,-0.95981434,-0.979054235,-0.98383434,-0.97260331,-0.963438165,-0.980077065,-0.98080776
5,5,0.27834488,-0.0171991295,-0.11270649499999999,-0.983761425,-0.915956435,-0.92831683,0.957836555,-0.024261751499999998,0.13559061,-0.993255205,-0.975781495,-0.964957305,0.07597842299999999,0.0091694315,0.00030292655499999997,-0.9733474049999999,-0.93934641,-0.970544045,-0.027465827,-0.07412769,0.08479208999999999,-0.95506778,-0.952232035,-0.92946319,-0.0955445955,-0.041240024,-0.052012097,-0.95248763,-0.970436325,-0.953365765,-0.94587154,-0.939399915,-0.94587154,-0.939399915,-0.962805205,-0.948896975,-0.94208859,-0.9269253749999999,-0.9624638000000001,-0.95816602
5,6,0.27735602000000004,-0.017245594000000003,-0.10822398,-0.9887845399999999,-0.983740185,-0.9797939099999999,-0.48395778,0.960963715,0.24361051,-0.99083795,-0.99738282,-0.987224015,0.07550174949999999,0.0088424833,-0.00166138925,-0.9885575600000001,-0.971798055,-0.99016818,-0.027788901499999998,-0.0762391325,0.08652135250000001,-0.987138265,-0.98028396,-0.985813405,-0.09840574199999999,-0.039726239499999996,-0.055851629,-0.9883193299999999,-0.9882412899999999,-0.99332779,-0.988026195,-0.989262565,-0.988026195,-0.989262565,-0.98611549,-0.9863249199999999,-0.980150605,-0.9831675099999999,-0.99024099,-0.9890260049999999
6,1,0.29068479,-0.01510003,-0.11267181,-0.2871903,0.14624983,-0.50979033,0.95854219,-0.21384646,0.031286341,-0.98047163,-0.97138653,-0.96805355,0.08754202,-0.035631226,-0.0035947765,-0.15369318,-0.0032842261,-0.65336659,-0.026004598,-0.072367992,0.086924633,-0.4565896,-0.33805272,-0.37691246,-0.057510122,-0.034450653,-0.02326547,-0.246881,-0.46971316,-0.21344077,-0.15775836,-0.27758412,-0.15775836,-0.27758412,-0.18685876,-0.067679073,-0.28153444,-0.36570938,-0.39525753,-0.41089171
6,2,0.25738042,-0.025805234,-0.11019181,-0.043336723,0.18009705,-0.38397774,0.91264574,-0.34681436,-0.019656035,-0.96981079,-0.9339243,-0.91635106,0.070466413,0.033484474,0.00082726144,-0.19525308,-0.030132166,-0.59527583,-0.073232249,-0.0092319127,0.067070205,-0.34654438,-0.34097767,-0.17656325,-0.033893737,-0.068807197,-0.042113484,-0.22279488,-0.49034661,-0.17880272,0.0041458651,-0.085329493,0.0041458651,-0.085329493,-0.21498908,-0.18034813,-0.13877823,-0.20251631,-0.39777345,-0.47065007
6,3,0.257530235,-0.0256648445,-0.11063679500000001,0.395555155,0.342685565,-0.39188255,0.929456955,-0.218964405,-0.0026151239000000003,-0.958243805,-0.939771355,-0.94021071,0.15893311,0.0340661855,0.012517448399999999,0.16555335,0.25368059,-0.46254232500000003,-0.11759260499999999,-0.018080062,0.0986933415,-0.17120258,-0.258164595,-0.0935538015,-0.0249448705,-0.10205697,-0.050593901000000004,0.066429716,-0.25951156,0.21207083999999998,0.33028638,0.37221451000000005,0.33028638,0.37221451000000005,0.11161337499999999,0.19403816000000002,0.009380300349999999,-0.01556754045,-0.11811503,-0.16462878
6,4,0.27619458,-0.015453395,-0.10713564,-0.9866579,-0.95558718,-0.94558059,0.95199688,0.038400324,0.15113398,-0.99590637,-0.9885666,-0.97754962,0.076660542,0.0098551589,-0.00067775039,-0.97682068,-0.95803875,-0.97213322,-0.028017444,-0.078208515,0.087512366,-0.97227721,-0.96009309,-0.96696013,-0.098601094,-0.038457451,-0.05401301,-0.96587664,-0.97091734,-0.9750325,-0.96865987,-0.96061627,-0.96865987,-0.96061627,-0.96920412,-0.96562455,-0.9619362,-0.95136345,-0.9714998,-0.96851063
6,5,0.27651584,-0.017158752,-0.11044871,-0.99021415,-0.95366168,-0.95556338,0.94645939,-0.25075922,0.10209136,-0.99587701,-0.98005192,-0.97104629,0.076459324,0.008685018,0.0026299501,-0.98308786,-0.97132965,-0.98110454,-0.029714454,-0.073505481,0.085636292,-0.96683436,-0.96417976,-0.96264466,-0.10030203,-0.040365922,-0.054939713,-0.97272513,-0.9760991,-0.97640151,-0.96722454,-0.9711009,-0.96722454,-0.9711009,-0.98028218,-0.97658778,-0.96078465,-0.95503642,-0.9777412,-0.97310367
6,6,0.27672656,-0.016614385,-0.11880371,-0.97989526,-0.97284062,-0.96059013,-0.48479869,0.97951175,0.12869315,-0.98585687,-0.9963841,-0.96909806,0.076807504,0.011388234,-0.0018051949,-0.98004752,-0.96378931,-0.97451844,-0.02872217,-0.077717331,0.087281927,-0.97655909,-0.96342846,-0.97301934,-0.099491462,-0.040369943,-0.058239808,-0.96122585,-0.97276105,-0.98021476,-0.96534183,-0.96867799,-0.96534183,-0.96867799,-0.97393638,-0.97297653,-0.96533417,-0.96146292,-0.9733746,-0.97228342
7,1,0.27832449,-0.017606195,-0.10986689,-0.33741629,-0.11115547,0.14363687,0.92670486,-0.14838801,-0.27603183,-0.98047213,-0.97544777,-0.95607228,0.10377255,-0.0085559253,-0.093682416,-0.34565111,-0.052246057,-0.13403073,-0.028888597,-0.074192132,0.076953945,-0.4849824,-0.23694482,-0.39668336,-0.11761508,-0.047889492,-0.043473054,-0.24548079,-0.15945343,-0.51012528,-0.06904544,-0.19281985,-0.06904544,-0.19281985,-0.19187444,-0.027699748,-0.27761743,-0.19586832,-0.31514857,-0.10351011
7,2,0.24625486,-0.02476739,-0.11468448,-0.3111659,-0.33647472,-0.18094457,0.84515222,-0.20447943,-0.40942338,-0.95923232,-0.96252034,-0.94819281,0.024599277,-0.021349785,-0.015881808,-0.42756589,-0.50960596,-0.61570034,-0.059146802,-0.023752841,0.14107153,-0.36832448,-0.56897837,-0.36365138,-0.097432293,-0.042200038,-0.082008051,-0.61401803,-0.67089814,-0.682581,-0.2080643,-0.33401586,-0.2080643,-0.33401586,-0.4572307,-0.48012892,-0.24752458,-0.4751672,-0.66404317,-0.67811153
7,3,0.27667442,-0.018115608,-0.10376044,0.12476183,-0.1282058,-0.10609719,0.92885803,-0.12565664,-0.25437858,-0.96940505,-0.95107344,-0.94536642,0.089856338,-0.02161923,0.022386098,0.067671176,-0.32509899,-0.34759374,-0.10238957,-0.032275414,0.10031661,-0.42454729,-0.28150242,-0.39996764,-0.084405653,-0.06526184,-0.069389372,-0.4820269,-0.31379513,-0.45160259,0.071945898,0.22500486,0.071945898,0.22500486,-0.14726407,0.08264324,-0.16380141,-0.22880308,-0.37805915,-0.30581195
7,4,0.27737879,-0.015579457000000001,-0.10915408500000001,-0.993652745,-0.98052445,-0.954094675,0.97212326,0.0078463114,0.068983301,-0.9962496999999999,-0.98961137,-0.9649527,0.076086231,0.0105933125,-0.000149824065,-0.992200165,-0.9868297699999999,-0.984537535,-0.027303554,-0.0734279115,0.09160079700000001,-0.986736315,-0.976434715,-0.983347395,-0.0982464185,-0.040094325,-0.053610407,-0.993630665,-0.9929144000000001,-0.9940248549999999,-0.9780514899999999,-0.97112488,-0.9780514899999999,-0.97112488,-0.9888348950000001,-0.987206715,-0.976493465,-0.97455437,-0.9944430200000001,-0.994574415
7,5,0.27853082,-0.016044259,-0.1063383,-0.98454588,-0.9587829,-0.94438145,0.9612719,-0.10751383,-0.15875184,-0.99463218,-0.97844032,-0.96787437,0.076287329,0.011066138,-0.0030461652,-0.9806312,-0.98292744,-0.98037465,-0.026549463,-0.078670524,0.084943799,-0.96613118,-0.96732339,-0.97944572,-0.099139863,-0.041926104,-0.053525339,-0.9841928,-0.98330596,-0.98733647,-0.96362375,-0.96651439,-0.96362375,-0.96651439,-0.98046078,-0.98172906,-0.96019581,-0.96291401,-0.98551228,-0.98185074
7,6,0.27366918,-0.018615122499999998,-0.10780171,-0.96092087,-0.9634488,-0.979150485,-0.48139211,0.29594059500000003,0.96763805,-0.9701323749999999,-0.98714075,-0.9911147499999999,0.0767996055,0.0130229005,-0.0022956274,-0.990807405,-0.9880837650000001,-0.9854509250000001,-0.026673657,-0.078686722,0.086836194,-0.978054815,-0.95419801,-0.984795725,-0.0992330075,-0.039029094,-0.0552727715,-0.9865562299999999,-0.988355175,-0.995438155,-0.964098225,-0.969526115,-0.964098225,-0.969526115,-0.988240945,-0.98847337,-0.9637312,-0.9598779,-0.99014337,-0.98956613
8,1,0.28250149,-0.0156892135,-0.112007485,-0.176515035,0.37094744,-0.0613632775,0.90867938,-0.206407135,-0.18906256,-0.9791301649999999,-0.968927205,-0.9668283550000001,0.126849245,-0.048550518,-0.004990760545,-0.24498388999999998,0.239545045,-0.436636745,0.009896406049999999,-0.0974442965,0.0711235955,-0.18342154500000002,-0.20838990000000002,-0.10986761575000001,-0.170686105,-0.0439158765,-0.048843724,-0.273437345,-0.4287688,-0.397706145,0.013820141,-0.18350168,0.013820141,-0.18350168,-0.0944069445,-0.203064155,-0.00703816505,-0.24204733,-0.334703475,-0.5016036450000001
