participant,record,statistic,x,y
s6,s6_run,SD,4.766395243369994,3.5630533539501528
s6,s6_walk,mean,91.92674254162927,91.06391499750517
s6,s6_walk,median,91.43181093434433,90.35606768400292
s6,s6_walk,q10,88.88997059121793,86.78243105209397
s6,s6_walk,q90,95.11510568603127,95.4088258232479
s6,s6_walk,SD,2.9534017807500694,3.3771313747613414
s8,s8_run,mean,90.06326292655216,86.22500448661239
s8,s8_run,median,89.84914982065943,86.5358979242049
s8,s8_run,q10,79.33373718345156,83.4331374853114
s8,s8_run,q90,95.01910084531308,89.88016415868674
s8,s8_run,SD,10.38883804143678,2.657061970497361
s8,s8_walk,mean,75.19977303184324,74.96461744883239
s8,s8_walk,median,75.66502463054188,73.88885034343996
s8,s8_walk,q10,70.85106741954165,71.94734532689776
s8,s8_walk,q90,78.52810047095761,79.58549222797927
s8,s8_walk,SD,3.5012979869006426,3.539226313908275
s9,s9_walk,mean,102.58593360783783,102.73467886547857
s9,s9_walk,median,102.40455131339168,103.08724832214764
s9,s9_walk,q10,100.0035420619861,99.04564275489716
s9,s9_walk,q90,104.92114031840059,106.08219178082193
s9,s9_walk,SD,2.273296760803189,3.0093623487825316
