key,task,observer,dataset,kind,selected,reference_score,reference_ties,test_score,test_best,test_best_score,regret,score_gap,still_best,default,default_test_loss,selected_test_loss,gain
CKD__03,five,hard,CKD,empirical,Dot plot,98.32467982963556,1,98.49554534948788,Dot plot,98.49554534948788,0.0,0.0,True,Dot plot,0.0152743420544951,0.0152743420544951,0.0
CKD__03,five,soft,CKD,empirical,Dot plot,94.76049128039546,1,97.66586829426372,Dot plot,97.66586829426372,0.0,0.0,True,Dot plot,0.0238991548071187,0.0238991548071187,0.0
CKD__03,median,hard,CKD,empirical,Heatmap,99.91890613768084,1,99.91890613768084,Heatmap,99.91890613768084,0.0,0.0,True,Box plot,0.0090670252830853,0.0008115967783657,0.0082554285047196
CKD__03,median,soft,CKD,empirical,Heatmap,99.91890613768084,1,99.91890613768084,Heatmap,99.91890613768084,0.0,0.0,True,Box plot,0.0090670252830853,0.0008115967783657,0.0082554285047196
CKD__03,spread,hard,CKD,empirical,Dot plot,97.90704155999634,1,97.19069881150612,Interval plot,98.64189276264575,0.015136984204098,1.4511939511396292,False,Box plot,0.0180760131331602,0.028905041561048,-0.010829028427887799
CKD__03,spread,soft,CKD,empirical,Box plot,97.61341851700163,2,98.64189276264582,Interval plot,98.64189276264588,4.996003610813204e-16,5.684341886080802e-14,True,Box plot,0.0137680573569497,0.0137680573569497,0.0
CKD__04,five,hard,CKD,empirical,Dot plot,91.77991576246644,1,97.62265588171732,Dot plot,97.62265588171732,0.0,0.0,True,Dot plot,0.0243523810821451,0.0243523810821451,0.0
CKD__04,five,soft,CKD,empirical,Histogram,91.1802944651228,1,91.18332515027843,Histogram,91.18332515027843,0.0,0.0,True,Dot plot,0.1132164411896038,0.0966917452855647,0.0165246959040391
CKD__04,median,hard,CKD,empirical,Interval plot,99.40091333757594,1,99.49376334010798,Interval plot,99.49376334010798,0.0,0.0,True,Box plot,0.0116266949960413,0.0050881245506969,0.0065385704453444
CKD__04,median,soft,CKD,empirical,Interval plot,99.40091333757594,1,99.49376334010798,Interval plot,99.49376334010798,0.0,0.0,True,Box plot,0.0116266949960413,0.0050881245506969,0.0065385704453444
CKD__04,spread,hard,CKD,empirical,Box plot,96.53064349075008,1,97.71299100510636,Box plot,97.71299100510636,0.0,0.0,True,Box plot,0.0234053729332071,0.0234053729332071,0.0
CKD__04,spread,soft,CKD,empirical,Box plot,96.53064349075004,1,97.71299100510636,Box plot,97.71299100510636,0.0,0.0,True,Box plot,0.0234053729332071,0.0234053729332071,0.0
CKD__05,five,hard,CKD,empirical,Dot plot,94.24267842122288,1,95.93266568039316,Dot plot,95.93266568039316,0.0,0.0,True,Dot plot,0.0423978036131869,0.0423978036131869,0.0
CKD__05,five,soft,CKD,empirical,Dot plot,91.38363424851762,1,93.63863435241136,Dot plot,93.63863435241136,0.0,0.0,True,Dot plot,0.0679352672279207,0.0679352672279207,0.0
CKD__05,median,hard,CKD,empirical,Interval plot,98.57626787716347,1,98.89830530562097,Interval plot,98.89830530562097,0.0,0.0,True,Box plot,0.0136854246181455,0.0111396721205134,0.0025457524976321005
CKD__05,median,soft,CKD,empirical,Interval plot,98.57626787716347,1,98.89830530562097,Interval plot,98.89830530562097,0.0,0.0,True,Box plot,0.0136854246181455,0.0111396721205134,0.0025457524976321005
CKD__05,spread,hard,CKD,empirical,Interval plot,95.96655320567592,1,98.35964781335116,Interval plot,98.35964781335116,0.0,0.0,True,Box plot,0.0380646136810447,0.0166770847915359,0.021387528889508796
CKD__05,spread,soft,CKD,empirical,Box plot,95.96655320567592,2,98.359647813351,Box plot,98.359647813351,0.0,0.0,True,Box plot,0.0166770847915373,0.0166770847915373,0.0
CKD__06,five,hard,CKD,empirical,Dot plot,97.1235140785834,1,98.18241398448431,Dot plot,98.18241398448431,0.0,0.0,True,Dot plot,0.0185123378184908,0.0185123378184908,0.0
CKD__06,five,soft,CKD,empirical,Dot plot,95.83734191916392,1,97.69067027874722,Dot plot,97.69067027874722,0.0,0.0,True,Dot plot,0.0236392043852645,0.0236392043852645,0.0
CKD__06,median,hard,CKD,empirical,Histogram,99.09526275792147,1,99.08897568815436,Interval plot,99.23900536319736,0.0015257009855054,0.15002967504300102,False,Box plot,0.0121643606807959,0.0091940027184533,0.0029703579623425996
CKD__06,median,soft,CKD,empirical,Histogram,98.6488023198376,1,98.79728314289004,Interval plot,99.23900536319736,0.004505280564557799,0.44172222030732655,False,Box plot,0.0121643606807959,0.0121735822975057,-9.221616709799776e-06
CKD__06,spread,hard,CKD,empirical,Bar chart,95.505751075608,1,95.505751075608,Interval plot,98.72015246766784,0.0340929644591586,3.214401392059841,False,Box plot,0.0356930428479784,0.0470573643343646,-0.011364321486386206
CKD__06,spread,soft,CKD,empirical,Box plot,96.85147364973886,1,98.72015246766787,Box plot,98.72015246766787,0.0,0.0,True,Box plot,0.0129643998752059,0.0129643998752059,0.0
CKD__07,five,hard,CKD,empirical,Dot plot,96.41358243428554,1,96.90751396981868,Dot plot,96.90751396981868,0.0,0.0,True,Dot plot,0.0319117259694068,0.0319117259694068,0.0
CKD__07,five,soft,CKD,empirical,Dot plot,96.3426350764249,1,96.94889706257584,Dot plot,96.94889706257584,0.0,0.0,True,Dot plot,0.0314712495950811,0.0314712495950811,0.0
CKD__07,median,hard,CKD,empirical,Interval plot,99.67651852212818,2,99.66385211534372,Interval plot,99.66385211534372,0.0,0.0,True,Box plot,0.0076045733652155,0.0033728164978737,0.0042317568673418005
CKD__07,median,soft,CKD,empirical,Interval plot,99.67651852212818,2,99.66385211534372,Interval plot,99.66385211534372,0.0,0.0,True,Box plot,0.0076045733652155,0.0033728164978737,0.0042317568673418005
CKD__07,spread,hard,CKD,empirical,Interval plot,99.22984543376938,1,99.14498048578528,Interval plot,99.14498048578528,0.0,0.0,True,Box plot,0.0238330781692723,0.0086239314388418,0.015209146730430502
CKD__07,spread,soft,CKD,empirical,Interval plot,99.22984543376944,2,99.14498048578528,Interval plot,99.14498048578528,0.0,0.0,True,Box plot,0.0086239314388422,0.0086239314388418,4.0072112295064244e-16
CKD__08,five,hard,CKD,empirical,Dot plot,95.92360462209228,1,97.15379126907784,Dot plot,97.15379126907784,0.0,0.0,True,Dot plot,0.0292959100591276,0.0292959100591276,0.0
CKD__08,five,soft,CKD,empirical,Dot plot,96.04238670480076,1,96.77290410031635,Dot plot,96.77290410031635,0.0,0.0,True,Dot plot,0.033347101956746,0.033347101956746,0.0
CKD__08,median,hard,CKD,empirical,Interval plot,99.02582358983938,1,99.965387227563,Box plot,99.965387227563,0.0,0.0,True,Box plot,0.0003462475702535,0.0003462475702535,0.0
CKD__08,median,soft,CKD,empirical,Interval plot,99.02582358983938,1,99.965387227563,Box plot,99.965387227563,0.0,0.0,True,Box plot,0.0003462475702535,0.0003462475702535,0.0
CKD__08,spread,hard,CKD,empirical,Heatmap,99.02967576657667,1,99.02967576657667,Heatmap,99.02967576657667,0.0,0.0,True,Box plot,0.0232159150023654,0.0097983177861803,0.0134175972161851
CKD__08,spread,soft,CKD,empirical,Heatmap,99.02967576657667,1,99.02967576657667,Heatmap,99.02967576657667,0.0,0.0,True,Box plot,0.0147349551565098,0.0097983177861803,0.004936637370329499
CKD__09,five,hard,CKD,empirical,Dot plot,96.15578709451356,1,96.63174618486804,Dot plot,96.63174618486804,0.0,0.0,True,Dot plot,0.0348565968029606,0.0348565968029606,0.0
CKD__09,five,soft,CKD,empirical,Dot plot,94.61839969011436,1,95.6504731719448,Dot plot,95.6504731719448,0.0,0.0,True,Dot plot,0.0454731344636038,0.0454731344636038,0.0
CKD__09,median,hard,CKD,empirical,Interval plot,98.86535537722442,1,99.59172488084045,Interval plot,99.59172488084045,0.0,0.0,True,Box plot,0.0082389969821571,0.0040994883826749,0.004139508599482201
CKD__09,median,soft,CKD,empirical,Interval plot,98.86535537722442,1,99.59172488084045,Interval plot,99.59172488084045,0.0,0.0,True,Box plot,0.0082389969821571,0.0040994883826749,0.004139508599482201
CKD__09,spread,hard,CKD,empirical,Interval plot,98.2629741706952,1,98.37891286755264,Interval plot,98.37891286755264,0.0,0.0,True,Box plot,0.0244139595991294,0.0164779939643144,0.007935965634815002
CKD__09,spread,soft,CKD,empirical,Interval plot,98.2629741706952,2,98.37891286755269,Box plot,98.37891286755269,0.0,0.0,True,Box plot,0.016477993964314,0.016477993964314,0.0
CKD__10,five,hard,CKD,empirical,Heatmap,95.5573305415604,1,95.5573305415604,Dot plot,95.80755906109674,0.0027332101317563,0.2502285195363356,False,Dot plot,0.0437589787276569,0.0464921888594132,-0.0027332101317563
CKD__10,five,soft,CKD,empirical,Heatmap,95.5573305415604,1,95.5573305415604,Dot plot,96.43184967375096,0.009490406374468095,0.8745191321905565,False,Dot plot,0.0370017824849451,0.0464921888594132,-0.009490406374468095
CKD__10,median,hard,CKD,empirical,Box plot,99.56638962453552,2,99.14344989641712,Interval plot,99.40623748374573,0.0026664115664125996,0.26278758732860297,False,Box plot,0.0086395027051992,0.0086395027051992,0.0
CKD__10,median,soft,CKD,empirical,Box plot,99.56638962453552,2,99.14344989641712,Interval plot,99.40623748374573,0.0026664115664125996,0.26278758732860297,False,Box plot,0.0086395027051992,0.0086395027051992,0.0
CKD__10,spread,hard,CKD,empirical,Bar chart,99.99999999999991,1,99.99999999999991,Bar chart,99.99999999999991,0.0,0.0,True,Box plot,0.0259185081155979,6.046031669844307e-16,0.025918508115597295
CKD__10,spread,soft,CKD,empirical,Bar chart,99.99999999999991,1,99.99999999999991,Bar chart,99.99999999999991,0.0,0.0,True,Box plot,0.0086395027052002,6.046031669844307e-16,0.008639502705199595
Cleveland__00,five,hard,Cleveland,empirical,Histogram,96.6875874399544,1,96.7714691123704,Histogram,96.7714691123704,0.0,0.0,True,Dot plot,0.0484357896928235,0.0333624250746947,0.015073364618128797
Cleveland__00,five,soft,Cleveland,empirical,Heatmap,96.61726161426893,1,96.61726161426893,Dot plot,96.99715072424448,0.004053621014238902,0.3798891099755508,False,Dot plot,0.0309581183914606,0.0350117394056995,-0.004053621014238902
Cleveland__00,median,hard,Cleveland,empirical,Interval plot,99.34446531760162,1,99.6823054078302,Interval plot,99.6823054078302,0.0,0.0,True,Box plot,0.0070023236315697,0.003187071074149,0.0038152525574206998
Cleveland__00,median,soft,Cleveland,empirical,Interval plot,99.34446531760162,1,99.6823054078302,Interval plot,99.6823054078302,0.0,0.0,True,Box plot,0.0070023236315697,0.003187071074149,0.0038152525574206998
Cleveland__00,spread,hard,Cleveland,empirical,Interval plot,98.52425341253527,1,98.35674231725716,Violin plot,98.73186671973347,0.003862903262530498,0.37512440247631673,False,Box plot,0.0194095883861532,0.0167071178246467,0.002702470561506503
Cleveland__00,spread,soft,Cleveland,empirical,Box plot,98.5242534125353,2,98.35674231725716,Violin plot,98.75098004427372,0.004058940002347898,0.39423772701655935,False,Box plot,0.0167071178246467,0.0167071178246467,0.0
Cleveland__01,five,hard,Cleveland,empirical,Dot plot,93.87998225603512,1,94.80313426953306,Dot plot,94.80313426953306,0.0,0.0,True,Dot plot,0.0548174463904519,0.0548174463904519,0.0
Cleveland__01,five,soft,Cleveland,empirical,Dot plot,92.20039413202883,1,94.27975766326767,Dot plot,94.27975766326767,0.0,0.0,True,Dot plot,0.0606730700047289,0.0606730700047289,0.0
Cleveland__01,median,hard,Cleveland,empirical,Interval plot,100.0,1,100.0,Box plot,100.0,0.0,0.0,True,Box plot,0.0,0.0,0.0
Cleveland__01,median,soft,Cleveland,empirical,Interval plot,100.0,1,100.0,Box plot,100.0,0.0,0.0,True,Box plot,0.0,0.0,0.0
Cleveland__01,spread,hard,Cleveland,empirical,Interval plot,98.01072044719534,1,99.82622368302228,Interval plot,99.82622368302228,0.0,0.0,True,Box plot,0.0186932402359368,0.00174078824748,0.016952451988456803
Cleveland__01,spread,soft,Cleveland,empirical,Box plot,98.01072044719534,2,99.82622368302228,Box plot,99.82622368302228,0.0,0.0,True,Box plot,0.00174078824748,0.00174078824748,0.0
Cleveland__02,five,hard,Cleveland,empirical,Dot plot,97.8738366593719,1,97.75585538358732,Dot plot,97.75585538358732,0.0,0.0,True,Dot plot,0.0229566260517777,0.0229566260517777,0.0
Cleveland__02,five,soft,Cleveland,empirical,Dot plot,98.490995250324,1,98.38102387350663,Dot plot,98.38102387350663,0.0,0.0,True,Dot plot,0.0164561829380326,0.0164561829380326,0.0
Cleveland__02,median,hard,Cleveland,empirical,Violin plot,99.89774081442236,1,99.93518037154706,Violin plot,99.93518037154706,0.0,0.0,True,Box plot,0.011823679017512,0.0006486167154745,0.0111750623020375
Cleveland__02,median,soft,Cleveland,empirical,Violin plot,99.86347185016612,1,99.86433071243266,Violin plot,99.86433071243266,0.0,0.0,True,Box plot,0.011823679017512,0.0013585359917748,0.0104651430257372
Cleveland__02,spread,hard,Cleveland,empirical,Violin plot,98.73912653150684,1,98.74716066701794,Violin plot,98.74716066701794,0.0,0.0,True,Box plot,0.0203956442921186,0.0126873453830914,0.007708298909027201
Cleveland__02,spread,soft,Cleveland,empirical,Dot plot,98.5343136641848,1,97.9865770736632,Violin plot,98.25513423772476,0.0027894263682029,0.26855716406156205,False,Box plot,0.0253541938291071,0.0205479463255785,0.0048062475035286
Cleveland__03,five,hard,Cleveland,empirical,Violin plot,98.00891007447632,1,97.81626684873258,Dot plot,98.23058668124898,0.004311991544857303,0.4143198325163979,False,Dot plot,0.0180128550437416,0.0223248465885989,-0.004311991544857303
Cleveland__03,five,soft,Cleveland,empirical,Violin plot,98.38103146299682,1,98.06654814242331,Dot plot,98.7108873809204,0.0066562348190119,0.6443392384970821,False,Dot plot,0.0130594775640599,0.0197157123830718,-0.0066562348190119
Cleveland__03,median,hard,Cleveland,empirical,Interval plot,99.45192039536036,1,99.33404938189751,Interval plot,99.33404938189751,0.0,0.0,True,Box plot,0.0090375712814893,0.0067041525262115,0.0023334187552778
Cleveland__03,median,soft,Cleveland,empirical,Interval plot,99.45192039536036,1,99.33404938189751,Interval plot,99.33404938189751,0.0,0.0,True,Box plot,0.0090375712814893,0.0067041525262115,0.0023334187552778
Cleveland__03,spread,hard,Cleveland,empirical,Violin plot,99.66188740254164,1,99.75318604305616,Histogram,99.87726556331651,0.0012453937626299998,0.12407952026035218,False,Box plot,0.0124404654796128,0.0024742463547713,0.0099662191248415
Cleveland__03,spread,soft,Cleveland,empirical,Violin plot,99.93296561665876,1,99.9717819732665,Violin plot,99.9717819732665,0.0,0.0,True,Box plot,0.0100751204423787,0.0002822599155135,0.0097928605268652
Cleveland__04,five,hard,Cleveland,empirical,Violin plot,92.48094652201132,1,92.50759888777915,Dot plot,93.5390436901224,0.011919983591106492,1.0314448023432448,False,Dot plot,0.0690722938250424,0.0809922774161489,-0.011919983591106492
Cleveland__04,five,soft,Cleveland,empirical,Box plot,95.5198110248811,1,95.4970750355586,Box plot,95.4970750355586,0.0,0.0,True,Dot plot,0.0780848303430768,0.0471524909298501,0.0309323394132267
Cleveland__04,median,hard,Cleveland,empirical,Interval plot,99.13645862259408,1,99.65918500293458,Interval plot,99.65918500293458,0.0,0.0,True,Box plot,0.0065234813965295,0.0034198051795766,0.0031036762169528997
Cleveland__04,median,soft,Cleveland,empirical,Interval plot,99.13645862259408,1,99.65918500293458,Interval plot,99.65918500293458,0.0,0.0,True,Box plot,0.0065234813965295,0.0034198051795766,0.0031036762169528997
Cleveland__04,spread,hard,Cleveland,empirical,Violin plot,99.71754327778925,1,99.8531287987698,Violin plot,99.8531287987698,0.0,0.0,True,Box plot,0.0152819618671749,0.0014708723001178,0.0138110895670571
Cleveland__04,spread,soft,Cleveland,empirical,Box plot,99.6928323256614,1,98.92148656853422,Violin plot,99.4459518084379,0.005331371752982,0.5244652399036767,False,Box plot,0.0109027216318526,0.0109027216318526,0.0
HAR__00,five,hard,HAR,empirical,Dot plot,93.4941406592892,1,94.84328249477892,Dot plot,94.84328249477892,0.0,0.0,True,Dot plot,0.0543709303345226,0.0543709303345226,0.0
HAR__00,five,soft,HAR,empirical,Dot plot,90.49871624659228,1,95.25537533490282,Dot plot,95.25537533490282,0.0,0.0,True,Dot plot,0.0498095214933103,0.0498095214933103,0.0
HAR__00,median,hard,HAR,empirical,Dot plot,97.4364795088625,1,94.7588058883391,Interval plot,97.62425212154562,0.030975260302941,2.8654462332065265,False,Box plot,0.0672495774440118,0.0553108923495403,0.011938685094471504
HAR__00,median,soft,HAR,empirical,Dot plot,97.42465070762916,1,98.90048393414268,Dot plot,98.90048393414268,0.0,0.0,True,Box plot,0.0560413145366785,0.0111173982383089,0.0449239162983696
HAR__00,spread,hard,HAR,empirical,Dot plot,85.13000733531072,1,91.84915723926343,Box plot,92.21041718679488,0.004265447999688296,0.3612599475314511,False,Box plot,0.084476169296853,0.0887416172965413,-0.004265447999688296
HAR__00,spread,soft,HAR,empirical,Box plot,80.13696582862063,1,88.54970644619947,Dot plot,88.68903889631103,0.0017741698708585163,0.13933245011156714,False,Box plot,0.1293092209261862,0.1293092209261862,0.0
HAR__01,five,hard,HAR,empirical,Dot plot,95.83359756861792,1,95.161393168637,Dot plot,95.161393168637,0.0,0.0,True,Dot plot,0.0508463219195249,0.0508463219195249,0.0
HAR__01,five,soft,HAR,empirical,Dot plot,96.7880010767895,1,96.70616370314268,Dot plot,96.70616370314268,0.0,0.0,True,Dot plot,0.0340602519087445,0.0340602519087445,0.0
HAR__01,median,hard,HAR,empirical,Box plot,99.66731338718242,2,99.01743612714463,Interval plot,99.1160370939394,0.0010046749335811001,0.09860096679476271,False,Box plot,0.0099231399164253,0.0099231399164253,0.0
HAR__01,median,soft,HAR,empirical,Box plot,99.66731338718242,2,99.01743612714463,Interval plot,99.1160370939394,0.0010046749335811001,0.09860096679476271,False,Box plot,0.0099231399164253,0.0099231399164253,0.0
HAR__01,spread,hard,HAR,empirical,Dot plot,98.6121193277525,1,97.42067132739726,Interval plot,98.17067742107366,0.007842091155379302,0.7500060936764044,False,Box plot,0.021058456010898,0.0264761948101805,-0.0054177387992825
